country,Continent,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Costa Rica,A,360.0,350.0,340.0,370.0,390.0,410.0,440.0,470.0,520.0,570.0,630.0,760.0,880.0,970.0,1040.0,1240.0,1480.0,1740.0,1950.0,1420.0,1020.0,1020.0,1280.0,1560.0,1820.0,2070.0,2190.0,2210.0,2320.0,2350.0,2580.0,2740.0,2980.0,3170.0,3230.0,3330.0,3360.0,3140.0,3580.0,3690.0,3780.0,4040.0,4390.0,4650.0,5060.0,5690.0,6420.0,6540.0,7230.0,8060.0,9210.0,9810.0,10200.0,10500.0,10800.0,11000.0
Cote d'Ivoire,AF,160.0,180.0,210.0,210.0,230.0,230.0,260.0,280.0,290.0,300.0,310.0,370.0,460.0,580.0,660.0,760.0,920.0,1100.0,1120.0,1100.0,930.0,690.0,640.0,620.0,710.0,790.0,890.0,810.0,750.0,730.0,760.0,730.0,670.0,680.0,710.0,750.0,750.0,720.0,640.0,590.0,560.0,610.0,770.0,930.0,940.0,970.0,1080.0,1170.0,1200.0,1130.0,1240.0,1340.0,1460.0,1490.0,1520.0,1540.0
Croatia,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,5440.0,5110.0,5290.0,5190.0,5470.0,6490.0,8270.0,9870.0,11000.0,12400.0,14000.0,13800.0,13800.0,14100.0,13500.0,13500.0,13300.0,13000.0,12300.0,12400.0
Cuba,A,,,,,,,,,,,850.0,1040.0,1240.0,1500.0,1550.0,1600.0,1790.0,2000.0,2150.0,2430.0,2340.0,2180.0,2310.0,2310.0,2390.0,2490.0,2780.0,2750.0,2660.0,2340.0,2130.0,1870.0,2140.0,2550.0,2700.0,2500.0,2230.0,2390.0,2610.0,2750.0,2820.0,3090.0,3480.0,3950.0,4510.0,4970.0,5420.0,5480.0,5560.0,5870.0,6210.0,6570.0,,,,
Cyprus,AS / EU,,,,,,,,,,,,,,,,1530.0,1820.0,2410.0,3410.0,4070.0,4510.0,4220.0,4360.0,4480.0,5090.0,6450.0,8090.0,8770.0,9510.0,9670.0,11200.0,11200.0,11900.0,13100.0,14200.0,14600.0,15800.0,14800.0,14900.0,14700.0,15000.0,17100.0,20900.0,24500.0,26300.0,29000.0,32100.0,32600.0,31300.0,31500.0,29000.0,27100.0,26600.0,26200.0,24300.0,23700.0
Czech Republic,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330.0,3470.0,4130.0,5090.0,5930.0,6120.0,6070.0,6070.0,6310.0,6310.0,6620.0,8050.0,10200.0,12400.0,13900.0,15700.0,18300.0,18700.0,19200.0,19400.0,19400.0,19300.0,18800.0,18300.0,17600.0,18200.0
Denmark,EU,,,,,,,,,3300.0,3680.0,4340.0,5630.0,6850.0,8150.0,9040.0,9860.0,11300.0,13700.0,15200.0,14300.0,13000.0,11800.0,11600.0,11900.0,14200.0,17900.0,22300.0,23200.0,24600.0,25800.0,28900.0,28800.0,30600.0,32800.0,35000.0,35300.0,33600.0,33100.0,32700.0,31400.0,30900.0,34900.0,42800.0,49600.0,53500.0,55700.0,60400.0,60100.0,61200.0,62000.0,61700.0,63200.0,63700.0,60200.0,57000.0,55200.0
Dominican Republic,A,220.0,240.0,260.0,230.0,250.0,250.0,250.0,280.0,340.0,370.0,430.0,520.0,610.0,710.0,780.0,830.0,890.0,1030.0,1160.0,1230.0,1240.0,1260.0,1360.0,1040.0,1000.0,930.0,910.0,900.0,870.0,1030.0,1320.0,1580.0,1700.0,1910.0,2140.0,2290.0,2370.0,2470.0,2620.0,2630.0,2780.0,2580.0,2480.0,2840.0,3410.0,4380.0,4700.0,4850.0,5230.0,5410.0,5650.0,5820.0,6090.0,6250.0,6390.0,6630.0
Ecuador,A,210.0,210.0,220.0,280.0,340.0,460.0,470.0,500.0,520.0,510.0,510.0,600.0,830.0,1090.0,1290.0,1370.0,1560.0,1830.0,2140.0,2480.0,2430.0,2140.0,1930.0,1830.0,1780.0,1640.0,1530.0,1390.0,1370.0,1480.0,1600.0,1670.0,1820.0,1970.0,2080.0,2190.0,2170.0,1790.0,1540.0,1550.0,1740.0,2130.0,2560.0,2900.0,3120.0,3330.0,3880.0,4090.0,4410.0,4900.0,5410.0,5830.0,6130.0,6000.0,5800.0,5890.0
Egypt,AF,,,,,,170.0,180.0,200.0,220.0,230.0,250.0,270.0,280.0,310.0,340.0,380.0,380.0,410.0,490.0,520.0,540.0,540.0,560.0,590.0,630.0,770.0,790.0,760.0,740.0,710.0,720.0,720.0,800.0,900.0,1000.0,1110.0,1180.0,1290.0,1390.0,1410.0,1330.0,1260.0,1200.0,1210.0,1300.0,1510.0,1810.0,2090.0,2330.0,2520.0,2790.0,2990.0,3180.0,3310.0,3410.0,3010.0
El Salvador,A,,,,,,300.0,300.0,300.0,310.0,320.0,350.0,390.0,440.0,480.0,530.0,610.0,710.0,780.0,760.0,730.0,690.0,680.0,700.0,720.0,760.0,820.0,870.0,860.0,900.0,950.0,1090.0,1220.0,1370.0,1580.0,1720.0,1850.0,1930.0,2010.0,2130.0,2210.0,2280.0,2430.0,2640.0,2830.0,3000.0,3200.0,3440.0,3330.0,3370.0,3510.0,3600.0,3740.0,3810.0,3880.0,3930.0,3560.0
Equatorial Guinea,AF,,,,,,,,,,,,,,,,,,,,,120.0,120.0,130.0,150.0,160.0,210.0,240.0,230.0,260.0,260.0,370.0,360.0,260.0,250.0,350.0,860.0,690.0,800.0,760.0,890.0,1250.0,1180.0,1700.0,3850.0,8030.0,11500.0,14100.0,12400.0,9890.0,11400.0,13800.0,13900.0,13100.0,10800.0,8250.0,7060.0
Eritrea,AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,190.0,210.0,220.0,220.0,210.0,210.0,210.0,210.0,210.0,240.0,280.0,290.0,300.0,300.0,350.0,410.0,520.0,,,,,,
Estonia,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4150.0,4320.0,4620.0,5710.0,7480.0,9710.0,11500.0,13500.0,15100.0,14500.0,14500.0,15900.0,16900.0,18300.0,18900.0,18400.0,17800.0,18200.0
Ethiopia,AF,,,,,,,,,,,,,,,,,,,,,,210.0,200.0,190.0,230.0,280.0,270.0,250.0,260.0,250.0,220.0,210.0,160.0,150.0,150.0,140.0,130.0,120.0,120.0,130.0,120.0,110.0,130.0,160.0,180.0,220.0,280.0,340.0,380.0,390.0,410.0,470.0,550.0,600.0,660.0,740.0
Finland,EU,1370.0,1470.0,1620.0,1810.0,1970.0,2060.0,2090.0,2270.0,2470.0,2690.0,3170.0,4030.0,5130.0,6320.0,6840.0,7190.0,7910.0,9540.0,11500.0,12000.0,11700.0,10800.0,10800.0,11100.0,13000.0,16500.0,21500.0,24100.0,26000.0,25100.0,24200.0,20700.0,20200.0,22000.0,25000.0,26700.0,25800.0,26000.0,26400.0,25800.0,25500.0,28700.0,35200.0,40100.0,42700.0,46000.0,49900.0,48600.0,49300.0,49900.0,48700.0,49200.0,49000.0,46600.0,45000.0,44600.0
